id	sentence1	sentence2	label
1249	tienda de autoservicio. Buen lugar para comprar se acaban rápido los productos en promoción lo que no me gustó fue su comida en su cafetería muy prefabricado ni sabor, solo para matar el hambre pero hay más lugares alrededor para comer.	tienda de autoservicio - comida	Negative
1249	tienda de autoservicio. Buen lugar para comprar, se acaban rápido los productos en promoción, lo que no me gustó fue la comida en su cafetería, muy prefabricada, ni sabor, sólo para matar el hambre, pero hay más lugares alrededor para comer.	tienda de autoservicio - comida	Negative
1249	tienda de autoservicio. Buen lugar para comprar se acaban rápido los productos en promoción lo que no me gustó fue su comida en su cafetería muy prefabricado ni sabor, solo para matar el hambre pero hay más lugares alrededor para comer.	tienda de autoservicio - general	Positive
1249	tienda de autoservicio. Buen lugar para comprar, se acaban rápido los productos en promoción, lo que no me gustó fue la comida en su cafetería, muy prefabricada, ni sabor, sólo para matar el hambre, pero hay más lugares alrededor para comer.	tienda de autoservicio - general	Positive
1249	tienda de autoservicio. Buen lugar para comprar se acaban rápido los productos en promoción lo que no me gustó fue su comida en su cafetería muy prefabricado ni sabor, solo para matar el hambre pero hay más lugares alrededor para comer.	tienda de autoservicio - productos promoción	Negative
1249	tienda de autoservicio. Buen lugar para comprar, se acaban rápido los productos en promoción, lo que no me gustó fue la comida en su cafetería, muy prefabricada, ni sabor, sólo para matar el hambre, pero hay más lugares alrededor para comer.	tienda de autoservicio - productos promoción	Negative
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - surtido	Positive
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - surtido	Positive
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - atención	Positive
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - atención	Positive
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - chocolatines	Negative
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - chocolatines	Negative
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - café	Positive
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - café	Positive
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - trufas chocolate	Positive
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - trufas chocolate	Positive
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - leche	Positive
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - leche	Positive
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - repostería	Positive
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - repostería	Positive
801	panadería. Buen surtido y buena atención, toda la repostería deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno, dice mi mamá, y la leche y el pan de caja económicos y muy buenos.	panadería - pan caja	Positive
801	panadería. Buen surtido y buena atención, toda la repostería es deliciosa. Mis favoritos son las trufas de chocolate. Los chocolatines eran buenos hasta que le dejaron una mirruña de chocolate. El café marca La Esperanza está muy bueno según mi mamá y la leche y el pan de caja son económicos y muy buenos.	panadería - pan caja	Positive
14	cine. Muy buen establecimiento, los trabajadores son buenos y aclaran tus dudas y las salas son bastante grandes. ¡Muy bueno sin duda!	cine - todo	Positive
14	cine. Muy buen establecimiento, los trabajadores son buenos y aclaran tus dudas y las salas son bastante grandes. ¡Muy bueno sin duda!	cine - todo	Positive
14	cine. Muy buen establecimiento, los trabajadores son buenos y aclaran tus dudas y las salas son bastante grandes. ¡Muy bueno sin duda!	cine - salas	Positive
14	cine. Muy buen establecimiento, los trabajadores son buenos y aclaran tus dudas y las salas son bastante grandes. ¡Muy bueno sin duda!	cine - salas	Positive
14	cine. Muy buen establecimiento, los trabajadores son buenos y aclaran tus dudas y las salas son bastante grandes. ¡Muy bueno sin duda!	cine - trabajadores	Positive
14	cine. Muy buen establecimiento, los trabajadores son buenos y aclaran tus dudas y las salas son bastante grandes. ¡Muy bueno sin duda!	cine - trabajadores	Positive
1030	panadería. El pan es bastante bueno además que proporcionan un buen servicio al entrar y puedes estacionar tu auto afuera.	panadería - pan	Positive
1030	panadería. El pan es bastante bueno, además que proporcionan un buen servicio al entrar y puedes estacionar tu auto afuera.	panadería - pan	Positive
1030	panadería. El pan es bastante bueno además que proporcionan un buen servicio al entrar y puedes estacionar tu auto afuera.	panadería - estacionar	Positive
1030	panadería. El pan es bastante bueno, además que proporcionan un buen servicio al entrar y puedes estacionar tu auto afuera.	panadería - estacionar	Positive
1030	panadería. El pan es bastante bueno además que proporcionan un buen servicio al entrar y puedes estacionar tu auto afuera.	panadería - servicio	Positive
1030	panadería. El pan es bastante bueno, además que proporcionan un buen servicio al entrar y puedes estacionar tu auto afuera.	panadería - servicio	Positive
951	panadería. Muy rico pan y cafe	panadería - café	Positive
951	panadería. Muy rico pan y café.	panadería - café	Positive
951	panadería. Muy rico pan y cafe	panadería - pan	Positive
951	panadería. Muy rico pan y café.	panadería - pan	Positive
128	cine. Es grande, con buenas instalaciones, sillas cómodas, buen sonido y con un espacio adecuado	cine - salas	Positive
128	cine. Es grande, con buenas instalaciones, sillas cómodas, buen sonido y con un espacio adecuado.	cine - salas	Positive
128	cine. Es grande, con buenas instalaciones, sillas cómodas, buen sonido y con un espacio adecuado	cine - cine	Positive
128	cine. Es grande, con buenas instalaciones, sillas cómodas, buen sonido y con un espacio adecuado.	cine - cine	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game, y fue una experiencia verdaderamente buena, y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido, y la gente también se sabe comportar y tener respeto hacia los demás. MUYY RECOMENDADA	cine - gente	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game y fue una experiencia verdaderamente buena y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido y la gente también se sabe comportar y tener respeto hacia los demás. MUY RECOMENDADA.	cine - gente	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game, y fue una experiencia verdaderamente buena, y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido, y la gente también se sabe comportar y tener respeto hacia los demás. MUYY RECOMENDADA	cine - experiencia	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game y fue una experiencia verdaderamente buena y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido y la gente también se sabe comportar y tener respeto hacia los demás. MUY RECOMENDADA.	cine - experiencia	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game, y fue una experiencia verdaderamente buena, y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido, y la gente también se sabe comportar y tener respeto hacia los demás. MUYY RECOMENDADA	cine - sala	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game y fue una experiencia verdaderamente buena y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido y la gente también se sabe comportar y tener respeto hacia los demás. MUY RECOMENDADA.	cine - sala	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game, y fue una experiencia verdaderamente buena, y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido, y la gente también se sabe comportar y tener respeto hacia los demás. MUYY RECOMENDADA	cine - cine	Positive
409	cine. Totalmente buena, sobretodo para ver películas largas. Hoy por ejemplo vimos mi familia y yo Avengers end game y fue una experiencia verdaderamente buena y cómoda, disfrutamos mucho la sala y los asientos. Nada de ruido y la gente también se sabe comportar y tener respeto hacia los demás. MUY RECOMENDADA.	cine - cine	Positive
1173	tienda de autoservicio. Buena opción para ahorrar en las compras u gran calidad de productos	tienda de autoservicio - general	Positive
1173	tienda de autoservicio. Buena opción para ahorrar en las compras y gran calidad de productos.	tienda de autoservicio - general	Positive
1173	tienda de autoservicio. Buena opción para ahorrar en las compras u gran calidad de productos	tienda de autoservicio - calidad	Positive
1173	tienda de autoservicio. Buena opción para ahorrar en las compras y gran calidad de productos.	tienda de autoservicio - calidad	Positive
3090	parque temático. ME GUSTÓ EL VUELO, EL RIO DE LODO, EL PUEBLO, LA CASA CHUECA	parque temático - pueblo	Positive
3090	parque temático. Me gustó el río de lodo, el pueblo y la casa chueca.	parque temático - pueblo	Positive
3090	parque temático. ME GUSTÓ EL VUELO, EL RIO DE LODO, EL PUEBLO, LA CASA CHUECA	parque temático - casa chueca	Positive
3090	parque temático. Me gustó el río de lodo, el pueblo y la casa chueca.	parque temático - casa chueca	Positive
888	panadería. La zona más o menos y la panadería muy bien.	panadería - zona	Negative
888	panadería. La zona más o menos y la panadería muy bien.	panadería - zona	Negative
888	panadería. La zona más o menos y la panadería muy bien.	panadería - panadería	Positive
888	panadería. La zona más o menos y la panadería muy bien.	panadería - panadería	Positive
742	panadería. Buen precio, saludable y buen servicio. Pan, repostería, pasteles, y más...	panadería - productos	Positive
742	panadería. Buen precio, saludable y buen servicio. Pan, repostería, pasteles y más...	panadería - productos	Positive
742	panadería. Buen precio, saludable y buen servicio. Pan, repostería, pasteles, y más...	panadería - servicio	Positive
742	panadería. Buen precio, saludable y buen servicio. Pan, repostería, pasteles y más...	panadería - servicio	Positive
